run_number,day,month,clients_case1,clients_case2,clients_case3,clients_case4,shelter_capacity_left,sent_to_hotel,ppl_turned_away
2,1,January,0,0,0,0,35,0,0
2,2,January,3,3,3,5,21,1,1
2,3,January,3,0,2,3,13,0,0
2,4,January,-2,3,0,-2,14,1,2
2,5,January,3,3,-3,1,10,1,0
2,6,January,-2,1,-2,5,8,1,1
2,7,January,5,-2,-3,-1,9,0,1
2,8,January,5,0,-1,0,5,0,0
2,9,January,1,-3,5,-2,4,1,2
2,10,January,-3,1,5,0,1,0,2
2,11,January,0,1,0,5,0,0,1
2,12,January,-3,4,-3,0,2,0,2
2,13,January,1,0,-1,-1,3,1,0
2,14,January,1,1,3,4,0,0,0
2,15,January,5,-1,-1,3,0,1,1
2,16,January,0,3,1,5,0,0,2
2,17,January,-3,-1,2,1,1,1,0
2,18,January,4,-3,-1,3,0,1,2
2,19,January,3,-2,5,0,0,0,2
2,20,January,-1,3,0,2,0,0,0
2,21,January,0,1,-2,2,0,1,0
2,22,January,-1,-3,2,1,1,0,0
2,23,January,-1,-2,4,-2,2,1,2
2,24,January,-3,-1,-1,1,6,0,2
2,25,January,3,4,1,-2,0,0,0
2,26,January,1,5,3,2,0,1,1
2,27,January,0,-3,2,2,0,0,0
2,28,January,2,5,2,1,0,1,0
2,29,January,4,-3,-1,3,0,1,1
2,30,January,1,-1,3,2,0,0,2
2,31,January,5,-2,3,-2,0,1,0
2,32,February,0,4,-1,1,0,0,0
2,33,February,5,3,5,-2,0,0,0
2,34,February,0,2,3,3,0,1,1
2,35,February,5,-1,0,-2,0,0,2
2,36,February,5,1,0,-1,0,0,1
2,37,February,2,-3,-1,-1,3,0,1
2,38,February,-2,-3,4,4,0,0,0
2,39,February,3,-2,0,-1,0,1,2
2,40,February,1,5,1,-2,0,0,2
2,41,February,1,-1,4,-2,0,1,1
2,42,February,5,0,0,1,0,0,0
2,43,February,0,0,1,3,0,0,2
2,44,February,-2,2,-2,-1,3,0,1
2,45,February,4,-1,-1,3,0,1,1
2,46,February,3,-3,1,2,0,0,1
2,47,February,3,0,-2,2,0,1,2
2,48,February,2,-2,-3,-2,5,1,0
2,49,February,0,1,4,4,0,1,1
2,50,February,0,-2,2,-2,2,0,2
2,51,February,3,-2,2,0,0,0,2
2,52,February,2,3,5,5,0,0,0
2,53,February,1,-3,2,-1,1,0,0
2,54,February,2,2,4,5,0,1,0
2,55,February,4,4,-3,-2,0,1,1
2,56,February,4,3,-2,2,0,0,1
2,57,February,1,0,1,-2,0,0,2
2,58,February,0,4,1,4,0,0,0
2,59,February,1,2,0,5,0,0,1
2,60,February,5,4,2,3,0,1,0
2,61,March,5,5,5,3,0,1,0
2,62,March,1,1,2,-1,0,0,2
2,63,March,4,5,4,0,0,0,1
2,64,March,2,4,-1,5,0,0,2
2,65,March,0,4,-3,-1,0,0,0
2,66,March,5,-1,-2,0,0,0,1
2,67,March,1,1,-2,0,0,0,1
2,68,March,4,0,5,4,0,1,1
2,69,March,5,2,5,2,0,1,2
2,70,March,-3,2,2,-1,0,0,1
2,71,March,3,0,2,2,0,0,2
2,72,March,0,5,5,-1,0,0,1
2,73,March,5,-2,0,0,0,1,2
2,74,March,2,-3,-3,1,3,1,1
2,75,March,5,-2,1,-1,0,0,2
2,76,March,4,4,-2,-2,0,1,2
2,77,March,3,-3,-1,-2,3,1,0
2,78,March,-2,-1,-2,4,4,0,2
2,79,March,2,-2,4,1,0,1,1
2,80,March,1,5,-3,-1,0,0,1
2,81,March,0,-2,0,-1,3,0,2
2,82,March,-2,-2,-3,1,9,1,0
2,83,March,-1,4,5,-2,3,1,0
2,84,March,4,0,-1,5,0,1,0
2,85,March,0,-3,2,1,0,0,2
2,86,March,3,4,-1,1,0,1,0
2,87,March,-2,2,3,-1,0,0,0
2,88,March,3,1,3,5,0,0,0
2,89,March,2,-1,-3,3,0,1,1
2,90,March,0,1,-3,-2,4,1,0
2,91,March,2,-1,3,-1,1,0,1
2,92,April,2,2,-1,1,0,1,1
2,93,April,0,-1,-2,2,1,0,2
2,94,April,0,-3,4,3,0,1,1
2,95,April,-1,0,4,2,0,0,2
2,96,April,-1,1,-3,-2,5,1,1
2,97,April,5,1,2,0,0,0,0
2,98,April,0,3,-1,-1,0,1,1
2,99,April,3,5,4,5,0,0,0
2,100,April,-3,-2,3,2,0,0,1
2,101,April,3,2,-1,0,0,0,1
2,102,April,5,3,3,4,0,1,0
2,103,April,1,5,0,1,0,1,0
2,104,April,-2,3,3,0,0,0,2
2,105,April,-2,5,-1,-1,0,1,0
2,106,April,2,-1,5,1,0,0,0
2,107,April,0,-3,2,2,0,1,2
2,108,April,0,3,-1,-1,0,0,2
2,109,April,-3,0,3,2,0,1,0
2,110,April,3,4,-1,5,0,1,1
2,111,April,-3,0,0,2,1,1,2
2,112,April,5,-2,3,2,0,1,0
2,113,April,2,0,-1,4,0,0,0
2,114,April,3,1,-2,2,0,1,2
2,115,April,5,3,5,5,0,0,1
2,116,April,4,1,3,5,0,1,1
2,117,April,-2,0,0,2,0,0,1
2,118,April,5,1,3,3,0,1,0
2,119,April,0,-2,2,2,0,0,2
2,120,April,2,4,1,1,0,0,0
2,121,April,-3,5,2,1,0,1,0
2,122,May,3,-3,-2,1,1,1,1
2,123,May,1,1,-3,1,1,0,2
2,124,May,-2,4,5,4,0,1,0
2,125,May,0,4,-2,5,0,1,1
2,126,May,4,0,0,1,0,1,0
2,127,May,-2,-2,1,5,0,1,0
2,128,May,3,-1,-3,3,0,1,2
2,129,May,-2,-2,-1,2,3,0,0
2,130,May,0,4,-2,1,0,1,1
2,131,May,3,5,3,2,0,1,2
2,132,May,-3,-3,-3,-1,10,0,2
2,133,May,0,-1,-1,1,11,0,2
2,134,May,3,2,0,1,5,0,1
2,135,May,-1,2,1,4,0,1,2
2,136,May,1,-1,3,2,0,1,0
2,137,May,3,-3,-1,0,1,0,2
2,138,May,3,-3,0,3,0,0,2
2,139,May,-3,-3,-1,-2,9,1,1
2,140,May,-1,5,2,5,0,0,1
2,141,May,-2,-3,1,0,4,1,1
2,142,May,1,-1,5,2,0,0,2
2,143,May,2,2,-1,2,0,0,2
2,144,May,0,1,5,3,0,0,2
2,145,May,2,1,2,1,0,0,1
2,146,May,-2,-1,-1,-2,6,1,0
2,147,May,-3,-1,4,4,2,0,0
2,148,May,2,-1,0,4,0,0,1
2,149,May,3,-3,4,3,0,1,2
2,150,May,5,3,2,4,0,1,2
2,151,May,4,1,4,3,0,1,0
2,152,May,0,0,4,2,0,0,2
2,153,June,-1,0,-3,5,0,0,1
2,154,June,-3,0,-1,1,3,0,1
2,155,June,-2,5,-1,5,0,0,2
2,156,June,1,1,1,1,0,1,2
2,157,June,5,-3,-1,4,0,0,2
2,158,June,2,1,-3,4,0,1,1
2,159,June,5,-2,-1,1,0,0,1
2,160,June,-1,0,2,0,0,1,0
2,161,June,3,2,1,0,0,1,0
2,162,June,1,1,-2,0,0,0,0
2,163,June,-3,4,3,5,0,0,2
2,164,June,5,5,2,4,0,1,0
2,165,June,-3,2,-2,-2,5,1,2
2,166,June,4,4,1,-2,0,0,1
2,167,June,0,3,3,4,0,1,1
2,168,June,0,1,-1,5,0,0,1
2,169,June,-1,5,-2,0,0,0,1
2,170,June,-1,-1,-1,-1,4,0,0
2,171,June,3,5,-3,1,0,0,0
2,172,June,4,4,-2,-2,0,1,1
2,173,June,2,3,1,1,0,1,0
2,174,June,-2,-2,4,-1,1,1,0
2,175,June,4,3,2,5,0,1,1
2,176,June,3,4,1,-1,0,0,2
2,177,June,-1,-3,-2,4,2,0,1
2,178,June,0,0,5,5,0,0,0
2,179,June,0,2,-1,3,0,1,1
2,180,June,3,0,0,1,0,1,1
2,181,June,-3,-3,5,2,0,1,0
2,182,June,4,2,3,0,0,0,1
2,183,July,-3,5,3,-1,0,1,0
2,184,July,0,-1,3,0,0,0,1
2,185,July,-2,-1,-2,2,3,1,2
2,186,July,4,-2,0,0,1,1,2
2,187,July,1,-3,2,3,0,1,0
2,188,July,5,4,0,4,0,1,0
2,189,July,0,-1,5,0,0,0,1
2,190,July,5,-3,0,-1,0,0,0
2,191,July,2,3,5,0,0,1,1
2,192,July,4,-3,-3,1,1,0,1
2,193,July,4,-2,-1,5,0,1,1
2,194,July,1,2,-2,3,0,0,1
